Period,DimentionName,value
gregorian-day/28/01/2012,Six largest suppliers (direct debit), 915.27 
gregorian-day/28/02/2012,Six largest suppliers (direct debit), 886.18 
gregorian-day/28/03/2012,Six largest suppliers (direct debit), 886.18 
gregorian-day/28/04/2012,Six largest suppliers (direct debit), 895.69 
gregorian-day/28/05/2012,Six largest suppliers (direct debit), 895.69 
gregorian-day/28/06/2012,Six largest suppliers (direct debit), 895.69 
gregorian-day/28/07/2012,Six largest suppliers (direct debit), 895.69 
gregorian-day/28/08/2012,Six largest suppliers (direct debit), 899.10 
gregorian-day/28/09/2012,Six largest suppliers (direct debit), 901.47 
gregorian-day/28/10/2012,Six largest suppliers (direct debit), 906.17 
gregorian-day/28/11/2012,Six largest suppliers (direct debit), 958.21 
gregorian-day/28/12/2012,Six largest suppliers (direct debit), 990.70 
gregorian-day/28/01/2013,Six largest suppliers (direct debit), 957.18 
gregorian-day/28/02/2013,Six largest suppliers (direct debit), 957.18 
gregorian-day/28/03/2013,Six largest suppliers (direct debit), 966.54 
gregorian-day/28/04/2013,Six largest suppliers (direct debit), 966.54 
gregorian-day/28/05/2013,Six largest suppliers (direct debit), 966.54 
gregorian-day/28/06/2013,Six largest suppliers (direct debit), 966.54 
gregorian-day/28/07/2013,Six largest suppliers (direct debit), 984.68 
gregorian-day/28/08/2013,Six largest suppliers (direct debit), 971.77 
gregorian-day/28/09/2013,Six largest suppliers (direct debit), 971.77 
gregorian-day/28/10/2013,Six largest suppliers (direct debit)," 1,011.80 "
gregorian-day/28/11/2013,Six largest suppliers (direct debit), 993.40 
gregorian-day/28/12/2013,Six largest suppliers (direct debit)," 1,033.47 "
gregorian-day/28/01/2014,Six largest suppliers (direct debit)," 1,033.47 "
gregorian-day/28/02/2014,Six largest suppliers (direct debit)," 1,033.97 "
gregorian-day/28/03/2014,Six largest suppliers (direct debit)," 1,024.79 "
gregorian-day/28/04/2014,Six largest suppliers (direct debit)," 1,000.38 "
gregorian-day/28/05/2014,Six largest suppliers (direct debit)," 1,000.38 "
gregorian-day/28/06/2014,Six largest suppliers (direct debit)," 1,000.38 "
gregorian-day/28/07/2014,Six largest suppliers (direct debit)," 1,000.38 "
gregorian-day/28/08/2014,Six largest suppliers (direct debit)," 1,000.38 "
gregorian-day/28/09/2014,Six largest suppliers (direct debit), 960.90 
gregorian-day/28/10/2014,Six largest suppliers (direct debit), 953.40 
gregorian-day/28/11/2014,Six largest suppliers (direct debit), 921.88 
gregorian-day/28/12/2014,Six largest suppliers (direct debit), 916.21 
gregorian-day/28/01/2015,Six largest suppliers (direct debit), 875.40 
gregorian-day/28/02/2015,Six largest suppliers (direct debit), 839.28 
gregorian-day/28/03/2015,Six largest suppliers (direct debit), 836.99 
gregorian-day/28/04/2015,Six largest suppliers (direct debit), 834.57 
gregorian-day/28/05/2015,Six largest suppliers (direct debit), 835.19 
gregorian-day/28/06/2015,Six largest suppliers (direct debit), 835.71 
gregorian-day/28/07/2015,Six largest suppliers (direct debit), 863.85 
gregorian-day/28/08/2015,Six largest suppliers (direct debit), 876.03 
gregorian-day/28/09/2015,Six largest suppliers (direct debit), 876.03 
gregorian-day/28/10/2015,Six largest suppliers (direct debit), 803.00 
gregorian-day/28/11/2015,Six largest suppliers (direct debit), 805.40 
gregorian-day/28/12/2015,Six largest suppliers (direct debit), 850.52 
gregorian-day/28/01/2016,Six largest suppliers (direct debit), 769.69 
gregorian-day/28/02/2016,Six largest suppliers (direct debit), 738.38 
gregorian-day/28/03/2016,Six largest suppliers (direct debit), 727.70 
gregorian-day/28/04/2016,Six largest suppliers (direct debit), 723.91 
gregorian-day/28/05/2016,Six largest suppliers (direct debit), 723.23 
gregorian-day/28/06/2016,Six largest suppliers (direct debit), 723.23 
gregorian-day/28/07/2016,Six largest suppliers (direct debit), 779.39 
gregorian-day/28/08/2016,Six largest suppliers (direct debit), 801.37 
gregorian-day/28/09/2016,Six largest suppliers (direct debit), 754.64 
gregorian-day/28/10/2016,Six largest suppliers (direct debit), 803.54 
gregorian-day/28/11/2016,Six largest suppliers (direct debit), 897.18 
gregorian-day/28/12/2016,Six largest suppliers (direct debit), 951.51 
gregorian-day/28/01/2017,Six largest suppliers (direct debit), 951.51 
gregorian-day/28/02/2017,Six largest suppliers (direct debit), 928.48 
gregorian-day/28/03/2017,Six largest suppliers (direct debit), 922.23 
gregorian-day/28/04/2017,Six largest suppliers (direct debit), 923.55 
gregorian-day/28/05/2017,Six largest suppliers (direct debit), 923.57 
gregorian-day/28/06/2017,Six largest suppliers (direct debit), 923.57 
gregorian-day/28/07/2017,Six largest suppliers (direct debit), 922.82 
gregorian-day/28/08/2017,Six largest suppliers (direct debit), 910.05 
gregorian-day/28/09/2017,Six largest suppliers (direct debit), 904.48 
gregorian-day/28/10/2017,Six largest suppliers (direct debit), 897.98 
gregorian-day/28/11/2017,Six largest suppliers (direct debit), 928.59 
gregorian-day/28/12/2017,Six largest suppliers (direct debit), 973.04 
gregorian-day/28/01/2018,Six largest suppliers (direct debit), 907.89 
gregorian-day/28/02/2018,Six largest suppliers (direct debit), 900.98 
gregorian-day/28/03/2018,Six largest suppliers (direct debit), 900.98 
gregorian-day/28/04/2018,Six largest suppliers (direct debit)," 1,000.42 "
